product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id
P0000,5.0,20.0,12.0,,H00,H0004,H000401,H00040105,H0004010534
P0001,13.5,22.0,20.0,cluster_5,H01,H0105,H010501,H01050100,H0105010006
P0002,22.0,40.0,22.0,cluster_0,H03,H0315,H031508,H03150800,H0315080028
P0004,2.0,13.0,4.0,cluster_3,H03,H0314,H031405,H03140500,H0314050003
P0005,16.0,30.0,16.0,cluster_9,H03,H0312,H031211,H03121109,H0312110917
P0006,8.5,15.0,15.0,cluster_0,H03,H0316,H031608,H03160817,H0316081708
P0007,2.0,22.0,9.5,cluster_4,H03,H0313,H031305,H03130519,H0313051904
P0008,5.0,16.0,5.0,cluster_0,H00,H0000,H000004,H00000400,H0000040017
P0009,5.0,18.0,14.0,cluster_6,H00,H0002,H000201,H00020100,H0002010012
P0010,2.0,22.0,3.0,cluster_0,H01,H0108,H010801,H01080109,H0108010917
P0011,9.0,22.0,15.0,cluster_0,H03,H0315,H031506,H03150612,H0315061202
P0012,10.0,20.0,12.3,cluster_0,H01,H0107,H010702,H01070210,H0107021001
P0013,7.1,27.5,13.7,,H01,H0105,H010503,H01050309,H0105030906
P0014,32.5,6.0,33.0,cluster_0,H03,H0313,H031302,H03130205,H0313020501
P0015,10.0,33.0,10.0,cluster_1,H00,H0000,H000003,H00000309,H0000030901
P0016,2.0,18.0,8.0,cluster_0,H00,H0004,H000401,H00040105,H0004010512
P0017,8.0,28.0,8.0,cluster_6,H00,H0000,H000003,H00000310,H0000031001
P0018,1.0,14.0,11.0,cluster_4,H00,H0003,H000316,H00031609,H0003160922
P0019,1.5,42.0,32.0,cluster_0,H03,H0312,H031201,H03120100,H0312010004
P0020,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090101
P0021,8.0,26.0,23.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002
P0022,5.7,18.6,10.1,cluster_0,H01,H0108,H010809,H01080900,H0108090012
